s,e,it,b,reps,pf50,pf95,ret50,ret95
XU100,BIST_DLY,4h,RAND_ALL,40,2.9405060914579777,6.459561040891926,173.34225403821992,364.1767428771303
XU100,BIST_DLY,4h,RAND_LT50,40,2.712161000697024,5.326661545175154,135.75701012344513,369.4153226689972
XU100,BIST_DLY,1h,RAND_ALL,40,1.4874230314129382,2.3747162751564646,17.871541531297865,42.28392949278742
XU100,BIST_DLY,1h,RAND_LT50,40,1.5065978508917488,2.18307041322629,20.628065852724475,49.646071655203144
THYAO,BIST,4h,RAND_ALL,40,1.9934839557557322,3.696233392467848,140.74626491821806,600.54313410506
THYAO,BIST,4h,RAND_LT50,40,2.074682668984903,2.911791780727524,186.14614451700717,376.62190929493016
THYAO,BIST,1h,RAND_ALL,40,0.8188886406100896,1.3039092664543106,-10.691201515049093,13.846424124352216
THYAO,BIST,1h,RAND_LT50,40,0.9353632432946576,1.5440371310153869,-3.8371223841847772,23.629739933437826
SPY,AMEX,4h,RAND_ALL,40,1.667054342462658,3.211767495993915,20.51586145369987,59.1151515608431
SPY,AMEX,4h,RAND_LT50,40,2.1889939622791355,4.225319212065783,42.114022943100814,83.55457802812607
SPY,AMEX,1h,RAND_ALL,40,1.5663829621909648,2.6450486374762012,10.312437299622601,25.44907331667397
SPY,AMEX,1h,RAND_LT50,40,1.8562383022544011,3.1931426686060616,17.230238003850154,34.97713964152152
AAPL,NASDAQ,4h,RAND_ALL,40,2.031092369987319,3.001090532350236,105.83475037218054,203.31885847093025
AAPL,NASDAQ,4h,RAND_LT50,40,2.1957241239993612,3.152283652452983,150.85624061844982,307.2075831746945
AAPL,NASDAQ,1h,RAND_ALL,40,1.5303313941085053,2.7745935179799153,20.29164034480204,49.58636208249891
AAPL,NASDAQ,1h,RAND_LT50,40,1.6163696940538113,3.2007148055167014,24.41195094141935,64.61938398953235
